cui	drugbank_id
UMLS:C3661518	DB00332
UMLS:C0025605	DB00333
UMLS:C0171023	DB00334
UMLS:C0527258	DB00334
UMLS:C0004147	DB00335
UMLS:C0028157	DB00336
UMLS:C0740138	DB00336
UMLS:C0740139	DB00336
UMLS:C1099414	DB00337
UMLS:C0028978	DB00338
UMLS:C0034239	DB00339
UMLS:C4256107	DB00339
UMLS:C0066139	DB00340
UMLS:C0055147	DB00341
UMLS:C0085173	DB00342
UMLS:C0012373	DB00343
UMLS:C0033743	DB00344
UMLS:C4256106	DB00344
UMLS:C0030123	DB00345
UMLS:C0086761	DB00345
UMLS:C0717403	DB00345
UMLS:C0051150	DB00346
UMLS:C0041038	DB00347
UMLS:C0702228	DB00347
UMLS:C0173083	DB00348
UMLS:C1120964	DB00348
UMLS:C0055891	DB00349
UMLS:C0026196	DB00350
UMLS:C0699464	DB00350
UMLS:C0730881	DB00350
UMLS:C1709038	DB00350
UMLS:C4256102	DB00350
UMLS:C4256103	DB00350
UMLS:C4256104	DB00350
UMLS:C4256105	DB00350
UMLS:C0065879	DB00351
UMLS:C0039902	DB00352
UMLS:C0025760	DB00353
UMLS:C0733811	DB00353
UMLS:C0164386	DB00354
UMLS:C0004521	DB00355
UMLS:C0699281	DB00355
UMLS:C4256096	DB00355
UMLS:C0008296	DB00356
UMLS:C0002555	DB00357
UMLS:C0025153	DB00358
UMLS:C0038675	DB00359
UMLS:C0048897	DB00360
UMLS:C4281712	DB00360
UMLS:C0078257	DB00361
UMLS:C1142738	DB00362
UMLS:C1697348	DB00362
UMLS:C0009079	DB00363
UMLS:C0038633	DB00364
UMLS:C0287721	DB00365
UMLS:C0013092	DB00366
UMLS:C0023566	DB00367
UMLS:C0591811	DB00367
UMLS:C0699170	DB00367
UMLS:C0699698	DB00367
UMLS:C0876128	DB00367
UMLS:C1450005	DB00367
UMLS:C4082601	DB00367
UMLS:C0028351	DB00368
UMLS:C0205860	DB00368
UMLS:C0286079	DB00369
UMLS:C2699210	DB00369
UMLS:C0049506	DB00370
UMLS:C0025386	DB00371
UMLS:C0591455	DB00371
UMLS:C0700705	DB00371
UMLS:C4256095	DB00371
UMLS:C0039865	DB00372
UMLS:C2350040	DB00372
UMLS:C0040233	DB00373
UMLS:C2983887	DB00373
UMLS:C1145760	DB00374
UMLS:C4256094	DB00374
UMLS:C0009279	DB00375
UMLS:C0003830	DB00376
UMLS:C0041009	DB00376
UMLS:C2350117	DB00376
UMLS:C0220578	DB00377
UMLS:C0013340	DB00378
UMLS:C4256093	DB00378
UMLS:C0025887	DB00379
UMLS:C0086444	DB00380
UMLS:C0051696	DB00381
UMLS:C0039245	DB00382
UMLS:C0069833	DB00383
UMLS:C0040869	DB00384
UMLS:C0700653	DB00384
UMLS:C4256092	DB00384
UMLS:C0068314	DB00385
UMLS:C0724176	DB00385
UMLS:C0033254	DB00387
UMLS:C0040964	DB00387
UMLS:C0031469	DB00388
UMLS:C0006983	DB00389
UMLS:C0012265	DB00390
UMLS:C4256089	DB00390
UMLS:C4256090	DB00390
UMLS:C0038803	DB00391
UMLS:C0210380	DB00391
UMLS:C0015042	DB00392
UMLS:C0028094	DB00393
UMLS:C0004906	DB00394
UMLS:C0007248	DB00395
UMLS:C0033308	DB00396
UMLS:C0595048	DB00396
UMLS:C1451497	DB00396
UMLS:C1515388	DB00396
UMLS:C4256086	DB00396
UMLS:C4256087	DB00396
UMLS:C0031495	DB00397
UMLS:C1516119	DB00398
UMLS:C0257685	DB00399
UMLS:C0392938	DB00399
UMLS:C2700334	DB00399
UMLS:C0018242	DB00400
UMLS:C0304315	DB00400
UMLS:C0304316	DB00400
UMLS:C0591579	DB00400
UMLS:C0674947	DB00400
UMLS:C0677654	DB00400
UMLS:C0700854	DB00400
UMLS:C4256078	DB00400
UMLS:C4256079	DB00400
UMLS:C4256080	DB00400
UMLS:C4256081	DB00400
UMLS:C4256082	DB00400
UMLS:C4256083	DB00400
UMLS:C4256084	DB00400
UMLS:C4256085	DB00400
UMLS:C0028116	DB00401
UMLS:C0723503	DB00401
UMLS:C1436328	DB00402
UMLS:C1956483	DB00402
UMLS:C0006639	DB00403
UMLS:C0002333	DB00404
UMLS:C0699034	DB00404
UMLS:C0057605	DB00405
UMLS:C0017440	DB00406
UMLS:C0301302	DB00406
UMLS:C3848552	DB00406
UMLS:C0297269	DB00407
UMLS:C0024056	DB00408
UMLS:C0073047	DB00409
UMLS:C0085259	DB00410
UMLS:C0733863	DB00410
UMLS:C1330130	DB00410
UMLS:C0006945	DB00411
UMLS:C0600175	DB00411
UMLS:C0772072	DB00411
UMLS:C0289313	DB00412
UMLS:C0074710	DB00413
UMLS:C0000992	DB00414
UMLS:C0002680	DB00415
UMLS:C0724526	DB00415
UMLS:C0128302	DB00416
UMLS:C0700566	DB00416
UMLS:C0889778	DB00416
UMLS:C0030840	DB00417
UMLS:C4256073	DB00417
UMLS:C0036516	DB00418
UMLS:C0733450	DB00418
UMLS:C0074118	DB00419
UMLS:C1174772	DB00419
UMLS:C1321596	DB00419
UMLS:C0033399	DB00420
UMLS:C4256072	DB00420
UMLS:C0037982	DB00421
UMLS:C0025810	DB00422
UMLS:C1691676	DB00422
UMLS:C0025659	DB00423
UMLS:C0699926	DB00423
UMLS:C4256071	DB00423
UMLS:C0596004	DB00424
UMLS:C0078839	DB00425
UMLS:C0209227	DB00426
UMLS:C0041098	DB00427
UMLS:C0038432	DB00428
UMLS:C0724450	DB00428
UMLS:C0007047	DB00429
UMLS:C0054721	DB00429
UMLS:C0055010	DB00430
UMLS:C0005038	DB00431
UMLS:C0591692	DB00431
UMLS:C0040987	DB00432
UMLS:C0728765	DB00432
UMLS:C0033229	DB00433
UMLS:C4256065	DB00433
UMLS:C4256066	DB00433
UMLS:C0010620	DB00434
UMLS:C0012267	DB00434
UMLS:C4256063	DB00434
UMLS:C4256064	DB00434
UMLS:C0028128	DB00435
UMLS:C0004975	DB00436
UMLS:C0002144	DB00437
UMLS:C0007559	DB00438
UMLS:C2983899	DB00438
UMLS:C0528023	DB00439
UMLS:C0041041	DB00440
UMLS:C0728764	DB00440
UMLS:C0733453	DB00440
UMLS:C0045093	DB00441
UMLS:C0971023	DB00442
UMLS:C2699999	DB00442
UMLS:C0005308	DB00443
UMLS:C4256061	DB00443
UMLS:C0039512	DB00444
UMLS:C0014582	DB00445
UMLS:C0008168	DB00446
UMLS:C0591251	DB00446
UMLS:C0699300	DB00446
UMLS:C0699301	DB00446
UMLS:C0699305	DB00446
UMLS:C4256053	DB00446
UMLS:C4256054	DB00446
UMLS:C4256055	DB00446
UMLS:C4256056	DB00446
UMLS:C4256057	DB00446
UMLS:C4256058	DB00446
UMLS:C4256059	DB00446
UMLS:C4256060	DB00446
